"Utilized_Write_IOPS","Provisioned_BW_MBps","Provisioned_IOPS","Utilized_Read_IOPS","VirtualNetwork","Utilized_Read_Avg_BW_MBps","AvailabilityZone","OperatingSystem","DiskSKU","Utilized_Write_Avg_BW_MBps","DataDiskName","Location","Utilized_Write_Max_BW_MBps","SizeGB","VMName","Utilized_Read_Max_BW_MBps"
"9.279861111111112","150","5000","0.5229166666666666","gso-core-westus2-vnet","0.2489585055245294","1","Linux","PremiumV2_LRS","0.042699062161975436","gso-cbs-azure-nvram-0","westus2","0.04407273928324382","64","gso-cbs-azure-ct1","0.25004138946533205"
"0.9972222222222223","125","4211","9.474305555555558","gso-core-westus2-vnet","0.3718598961830139","1","Linux","PremiumV2_LRS","0.24257463349236386","gso-cbs-azure-ssd-9","westus2","0.2946885903676351","256","gso-cbs-azure-ct1","0.7476662635803223"
"0.9979166666666668","125","4211","9.559027777777779","gso-core-westus2-vnet","0.37299879590670265","1","Linux","PremiumV2_LRS","0.23639696439107263","gso-cbs-azure-ssd-2","westus2","0.28331228892008464","256","gso-cbs-azure-ct1","0.7426092783610027"
"0.030555555555555555","200","5000","0","gso-core-westus2-vnet","1.4947520362006294E-06","No Zone","Windows","Premium_LRS","0.000992245806588067","gso-cvdemo-ma-disk1","westus2","0.014519643783569337","1024","gso-cvdemo-ma","2.5765101114908853E-05"
"0","60","500","0","gso-core-southeastasia-vnet","1.655684577094184E-08","No Zone","Windows","Standard_LRS","0","gso-fsa-mc-win_data_1","southeastasia","0","32","gso-fsa-mc-win","3.973642985026042E-07"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Windows","Standard_LRS","0","gso-fsa-jh-win_OsDisk_1_164aa43243d74d1a8d6577f144826ccc","westus2","0","127","gso-fsa-jh-win","0"
"0.9972222222222223","125","4211","9.461805555555555","gso-core-westus2-vnet","0.3723985148800743","1","Linux","PremiumV2_LRS","0.23775995837317573","gso-cbs-azure-ssd-5","westus2","0.3191408157348633","256","gso-cbs-azure-ct1","0.7497189044952393"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Linux","Standard_LRS","0","gso-fsa-rq-lin_OsDisk_1_c522ec461fef4da89f65d1658d1152e3","westus2","0","30","gso-fsa-rq-lin","0"
"9.301388888888889","150","5000","0.5180555555555556","gso-core-westus2-vnet","0.24893823862075806","1","Linux","PremiumV2_LRS","0.04276032249132791","gso-cbs-azure-nvram-1","westus2","0.04415872891743978","64","gso-cbs-azure-ct1","0.24997191429138182"
"0.9979166666666668","125","4211","9.430555555555555","gso-core-westus2-vnet","0.3717413458559249","1","Linux","PremiumV2_LRS","0.23414929641617666","gso-cbs-azure-ssd-8","westus2","0.3146960735321045","256","gso-cbs-azure-ct1","0.7456125100453694"
"2.710416666666667","60","500","0.018055555555555557","gso-core-southeastasia-vnet","0.07197157475683424","No Zone","Windows","Standard_LRS","0.11339002052942913","gso-fsa-mc-win_OsDisk_1_da69a9701e8c4706b6a4d56cfc94c6d6","southeastasia","0.2019683519999186","127","gso-fsa-mc-win","0.0832326889038086"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Linux","Standard_LRS","0","gso-pt-rb-lin_OsDisk_1_65cf21690a4642969f6b6e0f5c7744e1","westus2","0","30","gso-pt-rb-lin","0"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Windows","Standard_LRS","0","gso-pt-jc-win_OsDisk_1_61eb14e2169b42008e68cd6b2e58a841","westus2","0","127","gso-pt-jc-win","0"
,"60","500",,"gso-core-southeastasia-vnet","0","No Zone","Linux","Standard_LRS","0","data_1","southeastasia","0","32","gso-fsa-mc-lin","0"
"0.996527777777778","125","4211","9.634027777777776","gso-core-westus2-vnet","0.3716270062658522","1","Linux","PremiumV2_LRS","0.23589715162913005","gso-cbs-azure-ssd-13","westus2","0.29635594685872396","256","gso-cbs-azure-ct1","0.7474564711252848"
"4.435416666666666","100","500","0.7354166666666666","gso-core-westus2-vnet","0.03605426417456733","1","Windows","StandardSSD_LRS","0.08367807070414225","gs-cts-mr-win-2_OsDisk_1_060200e7b6694b8f80c904ec306db358","westus2","0.6421333948771158","127","gs-cts-mr-win-2","0.4067955017089844"
,"60","500",,"gso-core-southeastasia-vnet","0","No Zone","Linux","Standard_LRS","0","gso-fsa-mc-lin_OsDisk_1_9aeb5332b04e4c26a2a935e0e1d30e0b","southeastasia","0","30","gso-fsa-mc-lin","0"
"0.22361111111111112","60","500","0.06319444444444444","gso-core-westus2-vnet","0.004540554020139907","No Zone","Linux","Standard_LRS","0.0065255509482489696","gso-cts-mr-lin_disk1_e9540f0564a642ab9213b4c85f9c4ac4","westus2","0.07615207036336263","30","gso-cts-mr-lin","0.09592876434326172"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Windows","Standard_LRS","0","gso-fsa-cw-win_OsDisk_1_f2bffdcb27c84d55ad7214f9897d31c4","westus2","0","127","gso-fsa-cw-win","0"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Windows","Standard_LRS","0","gso-pt-sk-win_OsDisk_1_0bb5113beabf49a382bb66cd92500afe","westus2","0","127","gso-pt-sk-win","0"
,"60","500",,"gso-core-southeastasia-vnet","0","No Zone","Linux","Standard_LRS","0","gso-fsa-mc-lin-02_OsDisk_1_03692c17a053406b87125ffaff51e556","southeastasia","0","30","gso-fsa-mc-lin-02","0"
"0.9972222222222223","125","4211","9.429861111111112","gso-core-westus2-vnet","0.3714259558253817","1","Linux","PremiumV2_LRS","0.23770195444424946","gso-cbs-azure-ssd-12","westus2","0.29858619372049966","256","gso-cbs-azure-ct1","0.747704029083252"
,"60","500",,"gso-core-westus2-vnet","0","No Zone","Windows","Standard_LRS","0","gso-fsa-an-win_disk1_21d8cccdf3ea405892349b7c7d028bb6","westus2","0","127","gso-fsa-an-win","0"
